player_name,season,shots_total,goals,xg_total,xg_per_shot,on_target,goals_minus_xg,conversion_rate
A. Sandberg,WSL 2024-2025,4,0,0.4364641010761261,0.10911602526903152,2,-0.4364641010761261,0.0
A. Sandberg,WSL 2025-2026,4,1,0.34893089532852173,0.08723272383213043,2,0.6510691046714783,0.25
A. Scott,WSL 2015,6,1,0.5601851940155029,0.09336419900258382,4,0.43981480598449707,0.16666666666666666
A. Scott,WSL 2016,3,0,0.0804123729467392,0.02680412431557973,2,-0.0804123729467392,0.0
A. Scott,WSL 2017,1,0,0.0,0.0,1,0.0,0.0
A. Stringer,WSL 2016,7,0,0.9560445919632912,0.13657779885189875,3,-0.9560445919632912,0.0
A. Stringer,WSL 2017,5,0,0.3017939031124115,0.0603587806224823,2,-0.3017939031124115,0.0
A. Stringer,WSL 2017-2018,1,0,0.0,0.0,1,0.0,0.0
A. Stringer,WSL 2018-2019,5,1,0.8106628730893135,0.1621325746178627,3,0.1893371269106865,0.2
A. Stringer,WSL 2020-2021,9,0,0.5231754332780838,0.05813060369756487,4,-0.5231754332780838,0.0
A. Stringer,WSL 2021-2022,3,2,1.9259259104728699,0.6419753034909567,3,0.07407408952713013,0.6666666666666666
A. Stringer,WSL 2022-2023,4,0,0.0,0.0,4,0.0,0.0
A. Stringer,WSL 2023-2024,2,0,0.0804123729467392,0.0402061864733696,1,-0.0804123729467392,0.0
A. Swaby,WSL 2024-2025,2,1,1.0,0.5,2,0.0,0.5
A. Thestrup,WSL 2022-2023,13,0,0.2819383144378662,0.02168756264906663,11,-0.2819383144378662,0.0
A. Thestrup,WSL 2023-2024,30,9,4.725534927554246,0.15751783091847488,26,4.274465072445754,0.3
A. Thompson,WSL 2025-2026,38,7,5.742204502224922,0.15111064479539268,23,1.2577954977750778,0.18421052631578946
A. Tysiak,WSL 2023-2024,7,1,0.626383937895298,0.08948341969932828,5,0.373616062104702,0.14285714285714285
A. Tysiak,WSL 2024-2025,11,3,2.9057759940624237,0.26416145400567487,7,0.0942240059375763,0.2727272727272727
A. Tysiak,WSL 2025-2026,5,1,0.5774492472410202,0.11548984944820403,4,0.4225507527589798,0.2
A. Weerden,WSL 2024-2025,21,3,2.2209293991327286,0.10575854281584422,16,0.7790706008672714,0.14285714285714285
A. Whelan,WSL 2015,6,1,1.3133639991283417,0.2188939998547236,3,-0.3133639991283417,0.16666666666666666
A. Whelan,WSL 2016,10,2,1.5219778418540955,0.15219778418540955,6,0.47802215814590454,0.2
A. Whelan,WSL 2018-2019,32,1,2.49398335814476,0.07793697994202375,19,-1.4939833581447601,0.03125
A. Whelan,WSL 2019-2020,33,5,5.321590453386307,0.161260316769282,22,-0.32159045338630676,0.15151515151515152
A. Whelan,WSL 2020-2021,23,4,5.549624487757683,0.24128802120685577,10,-1.5496244877576828,0.17391304347826086
A. Whelan,WSL 2021-2022,18,4,2.6000303998589516,0.1444461333254973,10,1.3999696001410484,0.2222222222222222
A. Whelan,WSL 2022-2023,24,1,1.7248326763510704,0.0718680281812946,18,-0.7248326763510704,0.041666666666666664
A. Whelan,WSL 2023-2024,21,1,1.207522563636303,0.05750107445887157,15,-0.20752256363630295,0.047619047619047616
A. Yamashita,WSL 2025-2026,1,0,0.0,0.0,1,0.0,0.0
Alejandra Bernabé,WSL 2024-2025,3,0,0.19008714705705643,0.06336238235235214,1,-0.19008714705705643,0.0
Alejandra Bernabé,WSL 2025-2026,5,0,0.2292044535279274,0.04584089070558548,3,-0.2292044535279274,0.0
B. Aspin,WSL 2023-2024,10,2,1.8130359202623367,0.18130359202623367,5,0.18696407973766327,0.2
B. Aspin,WSL 2024-2025,1,0,0.0,0.0,1,0.0,0.0
B. Chaplen,WSL 2015,17,3,2.0247295706010444,0.11910173944712026,12,0.9752704293989556,0.17647058823529413
B. Chaplen,WSL 2016,14,3,1.9721173867583275,0.14086552762559482,9,1.0278826132416725,0.21428571428571427
B. Chaplen,WSL 2017,3,1,0.2819383144378662,0.0939794381459554,2,0.7180616855621338,0.3333333333333333
B. Chaplen,WSL 2017-2018,64,8,9.303314649477237,0.14536429139808182,40,-1.3033146494772367,0.125
B. Chaplen,WSL 2018-2019,52,7,5.300534173846245,0.10193334949704316,34,1.6994658261537552,0.1346153846153846
B. Chaplen,WSL 2019-2020,31,3,2.6713881492614746,0.08617381126649919,20,0.3286118507385254,0.0967741935483871
B. Chaplen,WSL 2020-2021,17,1,1.4617461860179901,0.08598506976576413,9,-0.4617461860179901,0.058823529411764705
B. Chaplen,WSL 2021-2022,5,0,0.3571709990501404,0.07143419981002808,3,-0.3571709990501404,0.0
B. England,WSL 2016,24,3,4.423836432397366,0.1843265180165569,13,-1.4238364323973656,0.125
B. England,WSL 2017,7,0,0.6991406977176666,0.09987724253109523,3,-0.6991406977176666,0.0
B. England,WSL 2017-2018,48,10,10.921865344047546,0.22753886133432388,29,-0.9218653440475464,0.20833333333333334
B. England,WSL 2018-2019,58,12,10.566508568823338,0.18218118222109203,31,1.4334914311766624,0.20689655172413793
B. England,WSL 2019-2020,75,14,10.425100341439247,0.13900133788585664,54,3.574899658560753,0.18666666666666668
B. England,WSL 2020-2021,45,6,7.37459772080183,0.16387994935115177,22,-1.3745977208018303,0.13333333333333333
B. England,WSL 2021-2022,33,8,5.954994058463631,0.18045436540798884,23,2.0450059415363686,0.24242424242424243
B. England,WSL 2022-2023,40,14,7.5678908883071525,0.18919727220767882,28,6.4321091116928475,0.35
B. England,WSL 2023-2024,32,5,5.402923181653023,0.16884134942665696,21,-0.40292318165302277,0.15625
B. England,WSL 2024-2025,40,8,7.5297358913756,0.18824339728439,23,0.4702641086244004,0.2
B. England,WSL 2025-2026,44,7,7.786581186804829,0.1769677542455643,27,-0.7865811868048294,0.1590909090909091
B. Galloway,WSL 2017-2018,10,3,1.6791641265153885,0.16791641265153884,7,1.3208358734846115,0.3
B. Hendrix,WSL 2018-2019,7,0,0.44737397879362106,0.06391056839908872,3,-0.44737397879362106,0.0
B. Hendrix,WSL 2019-2020,1,0,0.0804123729467392,0.0804123729467392,0,-0.0804123729467392,0.0
B. Hendrix,WSL 2022-2023,1,0,0.36796537041664124,0.36796537041664124,0,-0.36796537041664124,0.0
B. Horwood,WSL 2018-2019,6,0,0.0804123729467392,0.013402062157789866,5,-0.0804123729467392,0.0
B. Jane,WSL 2017,4,0,1.6325925588607788,0.4081481397151947,4,-1.6325925588607788,0.0
